#Person1#'s getting a check-up, and Doctor #Person2# advises him to have one every year.	get a check-up
#Person1#'s looking for a set of keys and asks for #Person2#'s help to find them.	find keys
#Person1#'s angry because #Person2# didn't tell #Person1# that #Person2# had a girlfriend and would marry her.	have a girlfriend
#Person1# gives Aims a birthday present and Aims loves it.	birthday
#Person1# tells #Person2# the fare of taking a taxi.	pay the fare
#Person1# shows a basic computer package to #Person2#.	a job application
#Person1# has an interview with a visa official.	a computer package
#Person1# asks #Person2# to do a favor.	a visa
#Person2# thinks the picture is lovely and asks #Person1# to give a slide and a wallet-size print.	do a favor
#Person2# suggests #Person1# use a spam filter to reject #Person3#'s pornographic stuff.	a copy
#Person1# and #Person2# are talking about their families' ages.	sexual harrassment
#Person2# likes dance music while #Person1# prefers classical music.	age
#Person1# asks #Person2# whether she plans on having more babies.	Valentine's Day
#Person1# and #Person2# are talking about different choices of ice cream.	triplets
#Person1# invites #Person2# to work together, and #Person2# agrees.	ice cream
#Person1#'s getting dressed in the car, and #Person2# warns her not.	work together
#Person1# asks #Person2# what they need to do when they check in at the Air China's counter.	get dressed
#Person1# calls #Person2# because #Person1# needs a mover.	check in
#Person1# worries about Monday's exam and asks #Person2# about some information about the exam.	get enough sleep
#Person1# is new to the working world.	strange combination
#Person1# tells #Person2# the Romans are very different.	Game Boy
#Person1# asks #Person2# some questions about her birthplace, her childhood, her university, and her current occupation.	depression
#Person1# wants to work in the hometown rather than in America but #Person2# advises #Person1# to think of working abroad.	move away
#Person1# and #Person2# discuss the difficulty of saving money when their parents were young.	time to leave
#Person1# and #Person2# are talking about Professor #Person3#'s outfit and outfit matching.	buy a bed
#Person1# feels horrible because of a high fever, a headache, a terrible stomach-ache, and a runny nose.	discuss the salary
#Person1# asks #Person2# to do the homework but #Person2# wants to practice for a concert first.	introduce a city
#Person1# and #Person2# are checking the route from where they live to the airport according to an up-to-day map.	lose a game
#Person1# and #Person2# negotiate over #Person1#'s salary.	live with parents
#Person1# wants to get #Person2#'s diamond ring back from the few thieves but #Person2# thinks it's dangerous.	the final exam
#Person1# introduces the travel market in Taiwan to #Person2#.	furniture shopping
#Person2# gives #Person1# some suggestions on clothes selection.	control the money
#Person1# tells #Person1# she went to a small town to visit her friend.	kitchen god
#Person2# calls back to #Person1# who works in the reference library to get the information about Denys Hawtin.	political system
#Person2# wants to buy a winter coat and #Person1# recommends a red one.	worth of jobs
#Person2#'s cousin, Jimmy, had four teeth pulled, and #Person1# misses him.	neighborhood dispute
#Person1# and #Person2# discuss the gift for their new neighbor's newborn.	overseas program
#Person2# tells #Person1# the way to Sun College and suggests #Person1# ask again at the mass hospital.	present giving
#Person1# comes to #Person1#'s to find about paying in foreign currency and a time deposit.	discuss marriage
#Person1# orders coffee and pancakes while #Person2# orders orange juice and pancakes.	a birthday party
#Person2# tells #Person1# #Person2# isn't satisfied with the restaurant and would not come again.	handbag shopping
#Person2# calls #Person1# to book a room for two days for his wife and himself.	discuss a trip
#Person1# asks Professor #Person2# where to buy art supplies for #Person1#'s eight-year-old niece as a birthday gift.	pick a restaurant
#Person1# asks #Person2# if this bus goes by Tiananmen Square and details about getting off.	a robbed car
#Person2# has been in this company for two years and tells #Person1# difference between working and studying.	details regarding the job
#Person1# needs an alibi and asks #Person2# to vouch for #Person1#.	English class
#Person2# tells #Person1# that #Person2# knows nearly everything about Hollywood.	culture shock
#Person1# invites #Person2# to #Person1#'s birthday party.	get promotion
#Person2# comes to #Person1#'s counter to deposit 10,000 Japanese yen for one year.	predicaments of the company
Paulo is telling #Person1# the status and stages of the project.	pyramids builder
#Person1# and #Person2# are both busy lately.	a secondhand sofa
#Person1# buys a dozen red roses from #Person2# for his wife's birthday.	environmental issues
#Person1# tells #Person2# that he has done well as the sales department director.	beautiful sceneries
#Person1# tells #Person2# the reason she cannot work overtime.	fire an employee
#Person1# brags to #Person2# that #Person1# is good at fishing but #Person2# doesn't believe it.	check out a book
Charles Nelson has a reservation at #Person2#'s hotel tonight.	blow an exam
Mike Carstairs hasn't been to #Person2#'s store since Christmas.	fashion
#Person1# comes to #Person2#'s and tells him that #Person3# doesn't come because she is studying for a Japanese exam.	purchase of beef
#Person1# asks #Person2# if #Person2# is smoking French cigarettes.	keep a pet
#Person1# is searching for an old music box made in the '20s with dancing figures.	documents discussion
#Person1# suggests going to the cinema tonight.	climb the mountain
#Person2# is going to leave school and become a clerk.	a new comer
#Person1# tells #Person1# he plants vegetables and fruits in his backyard.	job vacancy
#Person1# and #Person2# are talking about the test.	football game
#Person2# buys 3 pairs of pants and 2 shirts for #Person2#'s daughter with #Person1#'s help.	life predicaments
#Person2# tells the doctor #Person2# broke a leg when #Person2# was 17 and dust and cats make #Person2# sneeze.	cultural shock
#Person1# and #Person2# are preparing for a wedding.	inquire about a girl
#Person2# complains that #Person2# has been asked so many stupid questions after some money disappeared.	dinner dessert
#Person1# and #Person2# comment on each other's clothes.	afternoon plan
#Person1# and #Person2# discuss their experience of learning to play chess.	mistake
#Person2# tells #Person1# they offer semi-annual bonuses and allows commission.	soccer
#Person2# wants to get the money from the Time Deposit and #Person1# reminds #Person2# of the maturity date and interest.	classmate reunion
#Person1# is getting a chest X-ray and #Person2# guides #Person1# to be X-rayed and checks the film.	change the money
#Person2# helps #Person1# to open two different accounts and informs #Person1# of their minimum initial deposit respectively.	Apartment renovation
#Person1# and #Person2# think a play is dull, but the costumes and scenery are marvelous.	inbreeding
#Person2# is feeling sick and #Person1# consults #Person2#.	jump off
#Person1# dreamed to be a pilot and #Person1# dreamed to be a scientist.	garbage
#Person1# tells #Person2# that #Person1# might be laid off but #Person2# is not listening at all.	cut the hair
#Person1# has to get up early so #Person1# says goodbye to #Person2#.	suggestion
#Person2# allows #Person1# to see a movie when #Person1# finished the English class and cleaning out the garage on Saturday.	training program
#Person1# tells #Person2# that a drunk driver hit a bus and it caused a large crowd on the street corner.	pay the check
#Person1# has decided not to rent a house and find another one closer to #Person1#'s workplace.	joking
#Person1# says #Person2# got engaged and will get married next June.	document
#Person2# thinks smoking is harmful and discusses ways to stop smoking with #Person1#.	chest X-ray
#Person2# shares three silly yesterday's TV news stories with #Person1#.	find a sit
#Person1# and #Person2# are introducing to the audience some job interview skills.	introduce new staff
#Person1#'s late again because of oversleeping.	boss
#Person1# wants two orange juice smoothies with yogurt and #Person2# recommends caterpillar fungus.	Rome
#Person1# tells #Person2# about the new girl at the school and describes her appearance.	get the information
#Person1# tells #Person1# he's stressed because he hasn't finished all the projects his boss assigned to him.	travel bag
#Person1# tells #Person2# #Person1# is considering the new job.	make a choice
#Person1# asks #Person2# about the woman and the man standing next to her.	a wrong number
#Person1# complains to #Person2# about being forced to work overtime.	preparation for dine-out
#Person1# phones #Person2# to inquire about the result of the interview.	tie
#Person1# witnessed the accident and tells #Person1# the detailed information.	space
#Person1# and Paubler are studying how to use computers and #Person1# tells Paubler about the hardware and the software.	talk with Dad
#Person1# and May are shopping for clothes.	check the route
#Person1# wants to get a brown pin-striped suit made for a friend's wedding.	teach the kids
#Person1#'s doing some research for a magazine and interviews #Person2# about #Person2#'s leisure activities on weekends.	diamond ring
#Person2# wants a place for three.	dressing for interviews
#Person1# is accepted by LSE and #Person2# is accepted by MIT.	visit the factory
#Person1# tells #Person2# there will be a dog park.	fire
#Person1# wants to buy unique Chinese gifts.	a small town
#Person2# has a date tomorrow with a girl #Person2# met online through match @.com.	pictures
#Person2# tells #Person1# that they check the metal casing, the brushes, and the canvas belt regularly.	clean up
#Person2# tells #Person1# #Person2# achieved two teaching awards and an honour title.	a good student
#Person1# tells #Person2#'s new home is in Warton and #Person2# thinks that's worth millions.	tooth extraction
#Person2# suggests #Person1# calling the police because #Person1#'s neighbour's tape recorder is too loud.	Bus service Questionnaire
#Person1# and #Person2# can't stand riding the bus because it's unreliable.	Time Deposit
#Person1# helps #Person2# get an ordinary room for six people.	conversation on phone
#Person1# invites #Person2# to take a vacation but #Person1# has made plans with Mark.	meal between friends
